"Participant","Recruitment","Condition","Experiment_StartDate","Experiment_Duration","Browser_Version","Mobile","Platform","Screen_Width","Screen_Height","Reward","Gender","Age","Education","Discipline","Student","Ethnicity","Country","Experiment_Enjoyment","Experiment_Feedback","Accuracy_Respiratory_A","Accuracy_Gastric_Q8","Accuracy_ColonBladder_Q1","Accuracy_Respiratory_Q1","Accuracy_State_Q3","Accuracy_Genital_A","Accuracy_Cardiac_Q1","Accuracy_Gastric_Q2","Accuracy_ColonBladder_Q3","Accuracy_ColonBladder_Q5","Accuracy_Gastric_Q5","Accuracy_State_Q4","Accuracy_ColonBladder_Q2","Accuracy_Gastric_Q1","Accuracy_ColonBladder_Q4","Accuracy_Gastric_Q6","Accuracy_SkinThermo_Q2","Accuracy_SkinThermo_Q1","Accuracy_State_Q5","Accuracy_Cardiac_Q2","Accuracy_SkinThermo_Q3","Accuracy_Genital_Q2","Accuracy_Gastric_Q4","Accuracy_Genital_Q1","Accuracy_Gastric_Q7","Accuracy_Gastric_Q3","Accuracy_State_Q1","Accuracy_SkinThermo_Q4","Accuracy_State_Q2","Sexual_ColonBladder_Q2","Sexual_State_Q3","Sexual_State_Q5","Sexual_State_A","Sexual_State_Q4","Sexual_SkinThermo_Q3","Sexual_Genital_Q2","Sexual_Gastric_Q2","Sexual_Respiratory_Q1","Sexual_Cardiac_Q1","Sexual_SkinThermo_Q2","Sexual_State_Q1","Sexual_Gastric_Q1","Sexual_SkinThermo_Q1","Sexual_Genital_Q1","Sexual_ColonBladder_Q1","Sexual_State_Q2","Nociception_ColonBladder_Q1","Nociception_ColonBladder_Q2","Nociception_State_Q2","Nociception_SkinThermo_Q1","Nociception_Cardiac_Q1","Nociception_Respiratory_Q1","Nociception_Respiratory_Q2","Nociception_ColonBladder_A","Nociception_SkinThermo_Q2","Nociception_Gastric_Q1","Nociception_Genital_Q2","Nociception_Genital_Q1","Nociception_SkinThermo_Q3","Nociception_Cardiac_Q2","Nociception_State_Q1","Confusion_ColonBladder_A","Confusion_Gastric_Q1","Confusion_State_Q1","Confusion_Respiratory_Q1","Confusion_ColonBladder_Q1","Confusion_Gastric_Q2","Confusion_Genital_Q1","Confusion_Cardiac_Q1","Confusion_SkinThermo_Q1","Confusion_State_Q2","Anxious_Cardiac_Q1","Anxious_State_Q5","Anxious_Genital_Q1","Anxious_State_Q1","Anxious_ColonBladder_Q1","Anxious_State_Q4","Anxious_SkinThermo_A","Anxious_State_Q3","Anxious_SkinThermo_Q1","Anxious_SkinThermo_Q4","Anxious_SkinThermo_Q3","Anxious_State_Q2","Anxious_Respiratory_Q1","Anxious_Gastric_Q1","Anxious_SkinThermo_Q2","Sensitivity_State_Q1","Sensitivity_SkinThermo_Q6","Sensitivity_SkinThermo_Q1","Sensitivity_Gastric_A","Sensitivity_Respiratory_Q7","Sensitivity_Cardiac_Q6","Sensitivity_Respiratory_Q5","Sensitivity_State_Q3","Sensitivity_Respiratory_Q1","Sensitivity_Cardiac_Q4","Sensitivity_Cardiac_Q5","Sensitivity_Cardiac_Q7","Sensitivity_Genital_Q2","Sensitivity_Gastric_Q2","Sensitivity_ColonBladder_Q3","Sensitivity_Respiratory_Q6","Sensitivity_SkinThermo_Q3","Sensitivity_Cardiac_Q3","Sensitivity_Gastric_Q1","Sensitivity_Respiratory_Q3","Sensitivity_Cardiac_A","Sensitivity_Respiratory_Q4","Sensitivity_Gastric_Q4","Sensitivity_SkinThermo_Q7","Sensitivity_Gastric_Q5","Sensitivity_State_Q4","Sensitivity_Genital_Q3","Sensitivity_Gastric_Q3","Sensitivity_Genital_Q1","Sensitivity_Cardiac_Q1","Sensitivity_ColonBladder_Q1","Sensitivity_SkinThermo_Q8","Sensitivity_ColonBladder_Q4","Sensitivity_State_Q2","Sensitivity_SkinThermo_Q4","Sensitivity_Cardiac_Q2","Sensitivity_State_Q5","Sensitivity_SkinThermo_Q2","Sensitivity_SkinThermo_Q5","Sensitivity_Gastric_Q6","Sensitivity_Respiratory_Q2","Sensitivity_ColonBladder_Q2"
"S261","prolific","Domains",2024-11-19 20:31:11,12.7529833333333,"edge-chromium 131.0.0","false","Windows 10",1272,594,"Automatic","Female",45,"Other",NA,NA,"White","United Kingdom",4,NA,0,4,2,4,4,0,3,4,3,3,1,6,3,3,4,2,3,4,4,2,6,0,3,2,4,2,4,6,4,0,3,3,6,6,3,2,4,6,6,3,5,0,4,4,0,4,6,0,2,0,0,0,0,0,0,3,0,0,4,0,6,6,3,0,0,3,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,2,0,2,6,1,0,0,0,0,0,6,0,3,0,3,1,3,0,0,0,2,3,3,0,0,0,0,4,6,5,6,0,4,6,0,4,1,6
"S124","prolific","Dimensions",2024-11-19 12:06:36,20.0732333333333,"chrome 131.0.0","false","Mac OS",1266,823,"Automatic","Female",33,"High school",NA,FALSE,"Hispanic/Latino","United States",4,"Really made me think about how I perceive my body during certain moments. When anxious I tend to focus on things that can be noticeable to others when in public and when in private I focus on more internal things (like heartbeat). So, I think a good thing to add as a measurement is how we perceive our body in specific circumstances.",0,3,2,4,5,0,3,4,4,5,2,4,5,5,3,5,1,1,3,2,2,5,3,6,3,4,5,5,5,2,2,5,6,5,1,6,6,0,2,2,4,0,1,6,1,5,3,0,2,5,1,1,1,0,3,1,3,5,4,0,2,6,3,3,1,2,5,2,2,3,3,4,2,0,3,5,5,0,2,2,2,3,3,4,3,4,4,2,3,6,4,3,4,2,2,1,1,3,1,2,5,4,3,2,3,3,6,2,1,1,5,5,5,1,3,1,3,5,5,6,3,3,4,4,2,3,4,3
"S458","prolific","Random",2024-11-21 17:47:23,7.95686666666667,"chrome 130.0.0","false","Mac OS",1280,678,"Automatic","Female",24,"Bachelor","Engineering, Computer Science",FALSE,"Mixed","United Kingdom",3,NA,0,1,4,0,6,0,2,6,0,5,0,0,4,6,6,6,4,5,2,5,4,6,6,4,0,1,6,2,5,2,4,4,6,5,0,2,2,2,2,0,2,0,0,2,1,4,0,0,4,0,4,4,5,0,3,2,1,2,4,4,4,6,6,6,0,0,5,3,0,0,6,4,1,0,5,0,5,0,5,0,0,0,4,0,5,0,2,5,1,6,0,5,0,1,0,0,5,0,1,2,6,1,0,2,0,0,6,0,1,2,5,6,1,0,2,0,0,4,6,6,6,0,5,0,6,5,4,5
"S389","prolific","Random",2024-11-21 11:50:54,30.7679666666667,"chrome 130.0.0","false","Windows 10",1536,703,"Automatic","Male",49,"Master","Business, Economics",FALSE,"White","United States",3,NA,0,3,4,6,5,0,6,6,4,5,2,6,4,4,1,2,5,5,6,4,6,2,2,6,3,2,5,4,5,5,5,5,6,4,2,5,3,3,3,4,6,3,4,5,4,5,4,3,6,6,1,1,1,0,3,2,6,6,6,1,5,6,1,4,3,4,1,4,4,5,3,5,2,5,4,5,4,0,2,3,1,2,5,3,4,4,5,5,6,6,4,4,5,4,5,5,4,3,5,3,6,5,5,4,5,5,6,5,1,4,4,6,5,5,6,5,4,4,5,5,6,5,5,5,4,5,2,5
"S689","prolific","Domains",2024-12-01 00:21:02,21.3302666666667,"chrome 131.0.0","false","Mac OS",634,678,"Automatic","Female",24,"Bachelor","Psychology, Neuroscience",TRUE,"White","Australia",1,NA,0,0,4,1,2,0,4,6,1,4,5,1,0,5,0,5,0,0,0,3,6,0,6,5,5,5,1,0,1,0,1,6,6,6,0,6,4,5,4,0,5,0,2,6,0,5,5,1,5,4,0,0,0,0,5,4,6,5,2,1,5,6,5,4,1,1,4,4,1,1,4,6,0,0,4,4,5,0,0,0,1,2,5,4,4,4,4,1,1,6,3,4,4,0,5,1,5,5,2,5,5,4,4,2,5,4,6,1,1,0,4,5,1,2,1,2,4,4,4,4,4,1,4,1,2,4,4,4
"S482","prolific","Dimensions",2024-11-22 02:27:24,14.5998666666667,"chrome 131.0.0","false","Windows 10",2560,1215,"Automatic","Other",40,"High school",NA,FALSE,"Mixed","United States",4,NA,0,1,2,3,3,0,1,5,3,2,4,1,5,5,0,6,3,5,1,1,2,1,6,3,3,3,3,5,3,0,4,1,6,1,5,1,3,0,1,1,1,3,1,3,0,1,0,0,6,6,1,3,3,0,4,5,5,3,4,1,6,6,5,3,0,2,6,3,1,5,3,4,0,0,6,0,6,0,5,5,2,4,5,4,4,5,6,4,5,6,1,1,0,6,2,1,1,1,1,5,5,0,4,1,5,2,6,3,3,5,5,6,1,5,1,1,3,5,5,6,4,1,1,5,5,5,4,1
"S030","prolific","Random",2024-11-19 04:40:40,28.5381666666667,"chrome 131.0.0","false","Windows 10",1536,730,"Automatic","Male",24,"Bachelor","Business, Economics",FALSE,"Black","United States",4,"no",0,0,5,5,6,0,6,5,5,6,5,6,6,5,6,6,6,5,6,6,6,0,2,6,5,6,1,5,5,6,0,6,6,6,0,6,6,6,6,6,6,6,0,6,5,6,6,0,6,6,0,0,0,0,6,0,6,6,6,0,6,6,6,1,5,0,6,6,0,6,4,6,0,0,6,6,5,0,0,0,0,0,6,6,6,6,6,4,6,6,6,6,6,6,6,1,6,6,1,1,6,6,6,4,6,5,6,5,6,6,6,6,6,5,6,5,5,6,6,6,0,6,5,5,6,5,6,6
"S760","prolific","Random",2024-12-02 21:12:56,14.5841333333333,"chrome 131.0.0","false","Windows 10",1600,1039,"Automatic","Female",42,"Master","Sociology, Anthropology",FALSE,"White","Australia",4,NA,0,0,5,4,3,0,3,3,3,4,5,3,1,3,4,0,4,2,4,0,3,1,1,5,5,5,6,1,1,0,3,5,6,4,5,2,1,5,5,5,5,0,5,5,0,5,4,0,4,5,4,1,2,0,5,5,1,3,5,4,5,6,0,3,1,1,0,0,3,2,3,5,1,1,4,4,4,0,3,4,0,5,3,1,5,5,4,1,3,6,2,2,4,3,3,3,2,4,3,4,4,3,3,4,3,3,6,4,4,3,3,5,3,3,3,4,4,4,1,3,4,4,3,3,5,6,2,5
"S152","prolific","Domains",2024-11-19 13:40:26,17.00825,"chrome 129.0.0","false","Windows 10",1440,812,"Automatic","Female",21,"Bachelor","Psychology, Neuroscience",FALSE,"Black","United States",4,"It’s good as people would like to know more about their body and how to improve the functionalities. ",0,3,3,4,4,0,3,3,2,3,3,5,3,4,3,4,4,3,4,3,5,1,3,3,2,2,4,2,4,4,2,4,6,4,4,4,3,4,4,2,4,2,4,2,1,4,4,4,4,4,1,2,1,0,4,2,4,4,3,2,4,6,4,4,2,2,2,4,2,2,3,4,1,2,0,2,4,0,3,4,3,3,4,4,2,4,4,4,4,6,3,4,4,4,4,2,3,4,3,4,4,4,4,2,4,2,6,4,4,4,2,4,4,4,4,2,4,3,3,4,4,2,4,3,4,4,4,4
"S104","prolific","Domains",2024-11-19 11:33:38,13.8768,"safari 17.7.0","false","Mac OS",1180,777,"Automatic","Female",71,"High school",NA,FALSE,"White","United States",4,NA,0,5,4,4,4,0,3,4,5,5,5,5,1,4,2,1,4,3,4,2,4,2,2,4,4,4,5,4,5,1,1,5,6,5,1,5,5,2,4,4,5,1,2,5,1,5,1,1,4,5,1,1,1,0,5,5,5,5,5,1,4,6,1,1,1,1,3,4,5,5,2,5,2,1,5,3,5,0,2,5,4,5,5,5,5,5,4,4,5,5,4,1,3,4,3,2,3,4,3,4,5,5,5,3,5,2,5,2,3,5,1,5,1,5,5,4,3,5,5,5,5,3,4,5,1,5,3,3
